46,1,train,0,410,0,51.6725,0.0298296309231932,22.86,3,17,8,17,22.86,2025-02-02 14:26:12.025103
47,1,train,0,445.4,0,51.11,0.0130672133329694,21.418,1,23.5,8,1,21.4,2025-02-02 14:26:12.025276
48,1,train,0,418.5,0,55.7,0.02096689985106,22.07,3,23,8,3,22.01,2025-02-02 14:26:12.025453
49,1,train,0,431,2.6666666666665,49.77,0.0434799724956185,20.27,4,10,8,11,20.35,2025-02-02 14:26:12.025623
50,1,train,0,433,0,52.5475,0.0125661468820278,21.21,6,6.5,8,13,21.32,2025-02-02 14:26:12.025801
51,1,train,0,409,0,57.212,0.0359381536941207,20.55,5,4.5,9,2,20.55,2025-02-02 14:26:12.026182
52,1,train,0,419,0,45.016,0.0454596143982097,20.338,2,4,10,11,20.495,2025-02-02 14:26:12.026362
53,1,train,0,485.6666666666667,4.7,57.32,0.0303212289035814,22.332,0,5.5,8,21,22.18,2025-02-02 14:26:12.02654
54,1,train,0,413,0,50.896,0.0296111443493091,19.84,2,22,10,4,19.75,2025-02-02 14:26:12.026721
55,1,train,0,485,0,50.9,0.0356323255447218,20.27,2,15.5,8,9,20.27,2025-02-02 14:26:12.026901
56,1,train,0,409.5,0,51.53,0.0122691281693578,19.92,4,4,8,11,19.89333333333333,2025-02-02 14:26:12.027093
57,1,train,10000,415.3333333333333,0,38.5,0.030104750165576,22.416666666666668,0,22,10,30,22.52,2025-02-02 14:26:12.027276
58,1,train,0,425,0,61.07,0.0284281130119023,21.938,3,20,9,28,21.83,2025-02-02 14:26:12.027453
59,1,train,0,411,0,51.98333333333333,0.0321695323372909,22.95,1,18.5,8,22,22.86,2025-02-02 14:26:12.027638
60,1,train,0,517,12.0833333333335,37.055,0.0445340395673387,20.55,0,10,10,9,20.66,2025-02-02 14:26:12.02811
61,1,train,0,469,0,58.97,0.0249723294228686,21.83,5,5.5,9,9,21.83,2025-02-02 14:26:12.02851
62,1,train,10000,414,0,38.5925,0.0043617948788185,21.965,2,4.5,10,18,21.79,2025-02-02 14:26:12.028694
63,1,train,0,434.25,0,55.27,0.0476244259759911,21.66,4,4.5,8,4,21.58,2025-02-02 14:26:12.028871
64,1,train,0,465.5,5.5,60.4625,0.0115278850562884,21.77,2,12.5,9,27,21.92,2025-02-02 14:26:12.029055
65,1,train,3705,410.5,0,32.583333333333336,0.0390201219210936,21.79,5,2.5,10,21,21.905,2025-02-02 14:26:12.029237
